feature,importance
SO_AU25_r_Asym_Diff,0.044931006
SE_AU25_r_Asym_Ratio,0.04099175
side_indicator,0.038289797
SE_AU20_r_Asym_Diff,0.03776979
BS_AU12_r_val_side,0.036788188
SS_AU12_r_Asym_Diff,0.03212834
SS_AU25_r_val_opp,0.031410787
BS_AU12_r_Asym_Diff,0.027559929
BS_AU12_r_Is_Weaker_Side,0.027015904
SE_AU25_r_Asym_PercDiff,0.026442718
BS_AU15_r_Asym_Diff,0.025399907
BS_AU15_r_val_opp,0.024070837
SS_AU15_r_val_opp,0.023832431
BS_AU15_r_Is_Weaker_Side,0.023134423
BS_AU15_r_val_side,0.0218677
SS_AU12_r_val_opp,0.021693062
SS_AU12_r_Is_Weaker_Side,0.020298114
SS_AU20_r_Asym_PercDiff,0.020164078
BS_AU20_r_val_side,0.019052837
BS_AU20_r_Asym_Diff,0.018367644
SE_AU20_r_val_opp,0.018265799
SS_AU15_r_Asym_Diff,0.017409535
BS_AU15_r_Asym_PercDiff,0.017302323
BS_AU15_r_Asym_Ratio,0.016788628
SO_AU20_r_Asym_PercDiff,0.016128663
SS_AU20_r_Asym_Ratio,0.016054695
SS_AU12_r_val_side,0.015999576
SS_AU20_r_Is_Weaker_Side,0.015966227
BS_Asym_Ratio_Product_12_25,0.015371242
BS_AU12_r_val_opp,0.0151930405
SS_AU15_r_Asym_Ratio,0.014930189
BS_AU25_r_val_opp,0.014111814
SS_AU15_r_Asym_PercDiff,0.013993094
SS_AU12_r_Asym_PercDiff,0.013838498
BS_AU25_r_Asym_PercDiff,0.012817193
SS_AU15_r_val_side,0.012737352
BS_AU12_r_Asym_Ratio,0.012657675
BS_AU20_r_Asym_PercDiff,0.0123035945
SS_AU12_r_Asym_Ratio,0.012079687
BS_AU25_r_Asym_Diff,0.01203074
SS_AU20_r_val_side,0.01197855
SS_AU25_r_Asym_PercDiff,0.011540748
BS_AU25_r_val_side,0.011442366
SS_AU25_r_val_side,0.010902458
avg_AU12_Asym_Ratio,0.010649637
SS_AU20_r_Asym_Diff,0.0104581695
SE_AU20_r_Asym_Ratio,0.010243893
BS_AU20_r_val_opp,0.010202294
BS_AU20_r_Asym_Ratio,0.010088772
BS_AU25_r_Asym_Ratio,0.009847594
max_AU12_Asym_PercDiff,0.009110399
SS_AU20_r_val_opp,0.007973611
BS_AU12_r_Asym_PercDiff,0.0068840114
SS_AU25_r_Asym_Ratio,0.006675819
SS_AU25_r_Asym_Diff,0.004812728
SE_AU12_r_Asym_Diff,0.0
SE_AU15_r_Asym_Diff,0.0
SE_AU20_r_Asym_PercDiff,0.0
SO_AU20_r_Asym_Diff,0.0
SO_AU20_r_val_opp,0.0
