feature,importance
RE_AU01_r_Is_Weaker_Side,0.120302536
RE_AU02_r_Is_Weaker_Side,0.10068845
RE_AU01_r_val_opp,0.097200975
RE_AU02_r_Asym_Diff,0.063114166
RE_AU02_r_val_side,0.05640751
RE_AU01_AU02_product_side,0.054145027
RE_AU01_r_Asym_PercDiff,0.053298216
side_indicator,0.052068762
RE_AU01_AU02_sum_side,0.051602434
RE_AU02_r_val_opp,0.05068225
RE_AU01_r_val_side,0.050023418
RE_AU01_r_Asym_Ratio,0.047019403
RE_AU01_r_Asym_Diff,0.04050589
RE_AU02_r_Asym_Ratio,0.036690246
RE_AU02_r_Asym_PercDiff,0.036141302
RE_avg_Asym_Ratio,0.03290293
RE_avg_Asym_PercDiff,0.029040106
RE_max_Asym_PercDiff,0.028166356
