feature,importance
BS_AU12_r_Is_Weaker_Side,0.13257931
BS_AU12_r_Asym_Diff,0.047951378
BS_AU10_r_Asym_PercDiff,0.04216988
BS_AU12_r_val_side,0.037164122
BS_AU25_r_Asym_Diff,0.034019418
SS_AU12_r_Asym_Diff,0.032515004
BS_AU10_r_Asym_Ratio,0.026298283
SS_AU14_r_val_side,0.025548834
BS_AU20_r_Is_Weaker_Side,0.024730867
SS_AU14_r_Asym_PercDiff,0.022407295
BS_AU25_r_val_side,0.021026425
BS_AU25_r_Is_Weaker_Side,0.020262895
BS_AU25_r_Asym_PercDiff,0.019901259
avg_AU12_Asym_Ratio,0.01966029
BS_Asym_Ratio_Product_12_25,0.019248253
SS_AU12_r_val_side,0.019080019
BS_AU12_r_val_opp,0.017667819
BS_AU12_r_Asym_PercDiff,0.01762768
BS_AU26_r_Asym_Diff,0.01719289
BS_AU20_r_val_opp,0.01697296
BS_AU14_r_Asym_PercDiff,0.016563365
BS_AU12_r_Asym_Ratio,0.015371897
SS_AU25_r_Asym_Diff,0.0152118895
BS_AU10_r_val_opp,0.015211669
SS_AU14_r_Asym_Diff,0.015104137
BS_AU14_r_val_opp,0.014471342
SS_AU23_r_Asym_Diff,0.01384116
SS_AU17_r_Asym_Diff,0.013754785
SS_AU25_r_val_opp,0.01288431
BS_AU10_r_Asym_Diff,0.012819816
SS_AU17_r_val_side,0.012608419
BS_AU14_r_Asym_Diff,0.012560727
SS_AU12_r_Asym_Ratio,0.012437623
SE_AU25_r_Asym_Diff,0.012137293
BS_AU25_r_val_opp,0.011985149
SS_AU14_r_Asym_Ratio,0.0119703
SS_AU12_r_Is_Weaker_Side,0.01194904
BS_AU25_r_Asym_Ratio,0.011668801
BS_AU23_r_Asym_Diff,0.011500101
BS_AU17_r_val_side,0.010852067
BS_AU14_r_Asym_Ratio,0.010049685
BS_AU10_r_val_side,0.009403782
BS_AU20_r_Asym_Diff,0.009280074
SS_AU10_r_val_opp,0.008852853
BS_AU14_r_val_side,0.0077607944
SS_AU10_r_Asym_Ratio,0.0077381176
SS_AU23_r_val_side,0.0077307634
SS_AU12_r_Asym_PercDiff,0.0070972457
BS_AU26_r_val_opp,0.0070731775
SS_AU14_r_val_opp,0.006800742
SS_AU25_r_Asym_PercDiff,0.00661402
max_AU12_Asym_PercDiff,0.006415462
SS_AU26_r_Asym_Diff,0.0058554555
BS_AU26_r_val_side,0.0054689045
SS_AU10_r_val_side,0.0043857223
SS_AU10_r_Asym_Diff,0.004027978
SS_AU25_r_val_side,0.0038921062
SS_AU12_r_val_opp,0.0026243676
BS_AU17_r_Asym_Diff,0.0
SE_AU25_r_val_side,0.0
