feature,importance
ES_AU45_r_Is_Weaker_Side,0.10553184
ES_AU45_r_Asym_Diff,0.060978465
max_AU06_r_val_side,0.04060336
range_AU06_r_val_side,0.0336167
range_AU45_r_val_side,0.03210886
BK_AU45_r_Asym_PercDiff,0.030079946
ET_AU06_r_Asym_PercDiff,0.030077249
AU45_r_ETES_Ratio_Opp,0.029951816
ES_AU45_r_Asym_PercDiff,0.027647255
ET_AU45_r_val_side,0.026632452
ES_AU45_r_val_side,0.026394771
ET_AU45_r_Asym_Diff,0.025452204
ET_AU45_r_Asym_PercDiff,0.02509645
ET_AU45_r_val_opp,0.024781786
ET_AU06_r_val_opp,0.024404624
side_indicator,0.02363973
ET_AU45_r_Asym_Ratio,0.02276924
ES_AU45_r_val_opp,0.022214012
ES_AU45_r_Asym_Ratio,0.02157444
ES_ET_AU45_ratio_side,0.020754509
ES_AU06_r_val_opp,0.020698097
ES_AU06_r_Asym_Ratio,0.020124136
ES_AU06_r_Asym_Diff,0.01985128
AU06_r_ETES_Ratio_Side,0.01900207
ET_AU06_r_Asym_Ratio,0.018962637
ES_AU06_r_Asym_PercDiff,0.018940974
ES_AU06_r_val_side,0.01889277
BK_AU45_r_Is_Weaker_Side,0.018641973
ET_AU06_r_val_side,0.018625539
ET_ES_AU45_diff_side,0.01835674
max_AU45_r_val_side,0.018114166
AU45_r_ETES_Ratio_Side,0.017926391
BK_AU45_r_val_side,0.017158568
BK_AU45_r_Asym_Ratio,0.017022593
AU06_r_ETES_Ratio_Opp,0.016939696
BK_AU45_r_Asym_Diff,0.016629525
ET_AU06_r_Asym_Diff,0.01536283
BK_AU45_r_val_opp,0.014940606
BK_AU06_r_Asym_Diff,0.011226455
BK_AU06_r_val_opp,0.008273272
