feature,importance
BS_AU12_r_Is_Weaker_Side,0.10051276
BS_AU12_r_Asym_Diff,0.038505387
BS_AU10_r_Asym_PercDiff,0.036285244
BS_AU25_r_Is_Weaker_Side,0.031258106
BS_AU25_r_Asym_Diff,0.029881395
SS_AU12_r_Asym_Diff,0.02987497
BS_AU10_r_Asym_Ratio,0.027984256
BS_AU12_r_val_side,0.02782635
SS_AU12_r_val_side,0.025255173
BS_AU20_r_val_opp,0.025122587
SS_AU14_r_Asym_PercDiff,0.023030221
BS_AU25_r_val_side,0.022206577
BS_AU20_r_Is_Weaker_Side,0.021118734
BS_AU12_r_val_opp,0.021098334
BS_AU12_r_Asym_Ratio,0.020859577
BS_Asym_Ratio_Product_12_25,0.020647982
SS_AU25_r_Asym_Diff,0.019950056
BS_AU12_r_Asym_PercDiff,0.019580135
BS_AU14_r_Asym_Ratio,0.018999264
BS_AU10_r_Asym_Diff,0.018590668
SS_AU14_r_Asym_Ratio,0.018349158
SS_AU12_r_Is_Weaker_Side,0.017265404
BS_AU25_r_Asym_PercDiff,0.016361842
BS_AU17_r_Asym_Diff,0.015065819
SS_AU14_r_Asym_Diff,0.014553553
BS_AU14_r_val_opp,0.014503727
avg_AU12_Asym_Ratio,0.014386678
BS_AU10_r_val_opp,0.014385831
SS_AU14_r_val_side,0.014125245
SS_AU23_r_Asym_Diff,0.013713886
BS_AU20_r_Asym_Diff,0.013691788
SS_AU12_r_Asym_Ratio,0.013362218
SS_AU25_r_val_opp,0.01333426
BS_AU25_r_Asym_Ratio,0.012999845
BS_AU26_r_Asym_Diff,0.01210683
BS_AU14_r_Asym_Diff,0.011746768
SS_AU12_r_val_opp,0.011048459
SS_AU26_r_Asym_Diff,0.010968824
SS_AU10_r_val_opp,0.010521781
SS_AU17_r_val_side,0.0100667225
SS_AU12_r_Asym_PercDiff,0.009924389
BS_AU14_r_val_side,0.00971865
BS_AU14_r_Asym_PercDiff,0.009151716
BS_AU17_r_val_side,0.00913639
SS_AU23_r_val_side,0.009114992
max_AU12_Asym_PercDiff,0.008988786
SS_AU25_r_val_side,0.0087506035
SS_AU10_r_Asym_Ratio,0.008674355
BS_AU26_r_val_opp,0.008534095
BS_AU25_r_val_opp,0.0084454
SE_AU25_r_Asym_Diff,0.008035699
SS_AU17_r_Asym_Diff,0.0071609155
SS_AU14_r_val_opp,0.00714246
SS_AU25_r_Asym_PercDiff,0.007033802
BS_AU10_r_val_side,0.0068070297
SS_AU10_r_val_side,0.0065345285
BS_AU26_r_val_side,0.006485857
SS_AU10_r_Asym_Diff,0.0053560184
BS_AU23_r_Asym_Diff,0.0038578617
SE_AU25_r_val_side,0.0
