feature,importance
RE_AU01_r_Is_Weaker_Side,0.14917329
RE_AU01_AU02_sum_side,0.115816474
RE_AU01_r_Asym_Ratio,0.11106677
RE_AU02_r_Asym_Diff,0.09363255
RE_AU01_r_Asym_Diff,0.08475541
RE_AU01_r_Asym_PercDiff,0.0663203
RE_AU01_AU02_product_side,0.061764535
RE_AU02_r_val_side,0.04642829
RE_AU02_r_Is_Weaker_Side,0.041322153
RE_AU01_r_val_opp,0.035538904
RE_avg_Asym_PercDiff,0.03327622
RE_AU01_r_val_side,0.03159185
RE_AU02_r_val_opp,0.024079107
RE_avg_Asym_Ratio,0.023289004
RE_max_Asym_PercDiff,0.022674626
side_indicator,0.022210801
RE_AU02_r_Asym_Ratio,0.020980949
RE_AU02_r_Asym_PercDiff,0.016078694
