feature,importance
RE_AU01_r_Is_Weaker_Side,0.15900926
RE_AU01_AU02_sum_side,0.09684273
RE_AU02_r_Asym_Diff,0.09321999
RE_AU02_r_Is_Weaker_Side,0.08469978
RE_AU01_r_Asym_Diff,0.07921828
RE_AU01_r_Asym_Ratio,0.072440535
RE_AU01_r_Asym_PercDiff,0.067195915
RE_AU01_AU02_product_side,0.057946354
RE_AU02_r_val_side,0.047977157
RE_avg_Asym_PercDiff,0.04122999
RE_max_Asym_PercDiff,0.03144484
RE_AU01_r_val_opp,0.026453337
RE_AU01_r_val_side,0.026204778
RE_avg_Asym_Ratio,0.025940051
RE_AU02_r_Asym_PercDiff,0.025053527
side_indicator,0.022167563
RE_AU02_r_Asym_Ratio,0.022150354
RE_AU02_r_val_opp,0.020805556
