frame,timestamp,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,True,0.32169535756111145,0.7597365379333496,1.0772472023963928,0.05316236615180969,1.4011622071266174,0.0,0.0,0.8210041522979736,1.1567505598068237,0.18841313943266869,0.1550830602645874,0.6357861906290054,0.0,0.0,1.3374361991882324,0.7441332936286926,0.27480947971343994
1,0.016683183183183185,True,0.3203662534554799,0.7004688779513041,1.0945591529210408,0.05273322264353434,1.4323559602101643,0.0,0.0,0.7666592001914978,1.1715917984644573,0.17910017321507135,0.10338870684305827,0.6184847752253214,0.0,0.0,1.3262409369150798,0.7551076213518778,0.21484522024790445
2,0.03336636636636637,True,0.32783547043800354,0.6080080072085062,1.1935383081436157,0.01729164520899455,1.4833264350891113,0.0,0.0,0.6749164263407389,1.2342646916707356,0.14838213721911112,0.0,0.5016977389653524,0.0,0.0,1.3466864824295044,0.6633641521135966,0.09952739874521892
3,0.05004954954954955,True,0.4171069761117299,0.6051482955614725,1.311732014020284,0.01729164520899455,1.5482783714930217,0.0,0.0,0.5183825492858887,1.1982278029123943,0.053491413593292236,0.0,0.4272774855295817,0.0,0.0,1.1599812507629395,0.7025275031725565,0.08131519953409831
4,0.06673273273273274,True,0.4810082018375397,0.6766222516695658,1.439761718114217,0.0,1.6032403310139973,0.0,0.0,0.4640966554482778,1.1926477750142415,0.009470231831073761,0.0,0.2544698615868886,0.0,0.0,1.084541956583659,0.5704420308272043,0.04967629909515381
5,0.08341591591591592,True,0.42025970419247943,0.5355521440505981,1.2507226467132568,0.0,1.5116202036539714,0.0,0.05161170164744059,0.5925561090310415,1.1546630859375,0.009470231831073761,0.3781089385350545,0.04601776599884033,0.0,0.0,0.9640467166900635,0.37570751706759137,0.007619222005208333
6,0.1000990990990991,True,0.2779248058795929,0.30226558446884155,1.0424085855484009,0.0,1.3978875478108723,0.0,0.18263506889343262,0.8071481883525848,1.1850368976593018,0.009470231831073761,1.3186487356821697,0.025831639766693115,0.0,0.0,0.7569065491358439,0.12693328658739725,0.0
7,0.11678228228228228,True,0.19229617714881897,0.07941802342732747,0.8187278310457865,0.0,1.2837773164113362,0.0,0.33147164185841876,0.9681171377499899,1.1980015834172566,0.0,2.1143680016199746,0.030105849107106526,0.0,0.0,0.5250740249951681,0.0,0.0
8,0.13346546546546548,True,0.20562008023262024,0.04260424772898356,0.8200670282046,0.0,1.2891265948613484,0.0,0.43408385912577313,0.9919297496477762,1.2372512420018513,0.0,2.229048212369283,0.14652209480603537,0.0,0.0,0.4936005473136902,0.0,0.0
9,0.15014864864864866,True,0.195377379655838,0.06778069337209065,0.8105190594991049,0.0,1.333446462949117,0.0,0.42767345905303955,0.967515210310618,1.196409543355306,0.0,2.0493913094202676,0.28765690326690674,0.0,0.0,0.5058801968892416,0.0,0.0
10,0.16683183183183184,True,0.16360901792844137,0.05281521876653036,0.7899718483289083,0.0,1.355598012606303,0.0,0.37785545984903973,0.8949116269747416,1.1598372062047322,0.0,2.0040157238642373,0.44112715125083923,0.0,0.0,0.496282160282135,0.0,0.0
11,0.18351501501501502,True,0.0880170464515686,0.05281521876653036,0.8810650308926901,0.0,1.4445877075195312,0.0,0.27094554901123047,0.9230644504229227,1.1564527750015259,0.0,2.071153442064921,0.837029387553533,0.0,0.0,0.25724754730860394,0.0,0.06622898578643799
12,0.2001981981981982,True,0.052406917015711464,0.02763877312342326,1.0222140153249104,0.0,1.4908714691797893,0.0,0.22952775160471597,0.9253502686818441,1.2141611576080322,0.0,1.7005356550216675,1.1231349805990856,0.0,0.0,0.11774694919586182,0.0,0.13401007652282715
13,0.21688138138138138,True,0.0,0.0,1.1300385395685832,0.0,1.5467187563578289,0.0,0.2268706957499186,0.907630721728007,1.290473222732544,0.0,1.5771644512812297,1.3516187767187755,0.0,0.0,0.0,0.0,0.16420833269755045
14,0.23356456456456456,True,0.0,0.0,1.1251817146937053,0.0,1.527101953824361,0.0,0.24864089488983154,0.8336318929990133,1.3287609418233235,0.0,1.6395583550135295,1.295648107926051,0.0,0.0,0.0,0.0,0.1403015454610189
15,0.2502477477477478,True,0.0,0.0,1.0623859564463298,0.0,1.5077238480250041,0.0,0.31022191047668457,0.8206308086713155,1.316769282023112,0.0,1.9492574135462444,1.3067445854345958,0.0,0.0,0.0,0.0,0.1150738000869751
16,0.26693093093093095,True,0.0,0.0,1.0169909397761028,0.0,1.4810332854588826,0.0,0.36455496152242023,0.9461588859558105,1.3332853714625041,0.0,1.9967846473058064,1.2784262200196583,0.0,0.0,0.0,0.0,0.08487554391225179
17,0.28361411411411414,True,0.13422680894533792,0.0,1.211337963740031,0.0,1.5122324625651042,0.0,0.29547075430552167,1.0011815826098125,1.28148353099823,0.1710643172264099,1.3744638760884602,0.9191021919250488,0.0,0.0,0.3743313153584798,0.3985734184583028,0.12709295749664307
18,0.3002972972972973,True,0.22007515033086142,0.02514163653055827,1.4474921226501465,0.0,1.5707822640736897,0.0,0.15069456895192465,1.0166874925295513,1.2680176496505737,0.3003984789053599,0.6744997104008993,0.4767533640066783,0.0,0.0,0.765674869219462,0.7242499589920044,0.11247634887695312
19,0.3169804804804805,True,0.3123168448607127,0.05337683359781901,1.6407506863276164,0.0,1.6095817883809407,0.0,0.0,0.9522606730461121,1.189576784769694,0.3003984789053599,0.0,0.16197775801022848,0.007516900698343913,0.0,1.1767038901646931,1.0085043708483379,0.11247634887695312
20,0.3336636636636637,True,0.24980003635088602,0.05337683359781901,1.585763971010844,0.0,1.6120136578877766,0.0,0.0,0.916276216506958,1.2030843496322632,0.14665938168764114,0.0,0.11705220739046733,0.007516900698343913,0.0,1.0741536219914753,0.9397570888201395,0.0280611515045166
21,0.35034684684684686,True,0.21734121441841125,0.028235197067260742,1.5261472066243489,0.0,1.6329693794250488,0.0,0.0,0.888103703657786,1.209714412689209,0.038307949900627136,0.0,0.17017890016237894,0.007516900698343913,0.0,1.057030200958252,1.0757200121879578,0.00012441476186116537
22,0.36703003003003004,True,0.179203063249588,0.0,1.52480149269104,0.0,1.638271411259969,0.0,0.02776990334192912,0.885659654935201,1.2396246592203777,0.06333263963460922,0.0,0.1052249272664388,0.0,0.0,0.9879726568857828,1.0909154216448467,0.00012441476186116537
23,0.3837132132132132,True,0.10749306281407674,0.0,1.5801259279251099,0.00022635857264200845,1.6257216135660808,0.0,0.02776990334192912,0.9253562092781067,1.2167126735051472,0.04600741962591807,0.0,0.11295100053151448,0.1588824987411499,0.11099453767140706,1.116738756497701,1.0314187010129292,0.0
24,0.4003963963963964,True,0.05410354336102804,0.0,1.6775344610214233,0.04354119300842285,1.61370050907135,0.0,0.02776990334192912,1.0079136490821838,1.2711011966069539,0.025024689733982086,0.0,0.16181017955144247,0.3670938014984131,0.22287158171335855,1.0695475339889526,0.7355406880378723,0.0
25,0.4170795795795796,True,0.0,0.0,1.7346081733703613,0.14192654689153036,1.6321842670440674,0.0,0.0,1.115050991376241,1.335645318031311,0.0,0.0,0.2553424835205078,0.5048351685206095,0.33903056383132935,0.9478087027867635,0.5354614357153574,0.0
26,0.43376276276276277,True,0.0,0.0,1.7023249864578247,0.24766800800959268,1.6398760477701824,0.0,0.0,1.166455904642741,1.4233254591623943,0.0,0.0,0.3730078438917796,0.34595266977945965,0.3209287126859029,0.801874041557312,0.44981011748313904,0.0
27,0.45044594594594595,True,0.0,0.0,1.6698753436406453,0.4204901655515035,1.6428803602854412,0.0,0.0,1.129282573858897,1.45656685034434,0.0,0.0,0.41011567910512287,0.2528175115585327,0.2840329209963481,0.8160497744878134,0.5916757682959238,0.0
28,0.46712912912912913,True,0.0,0.0,1.6278542677561443,0.4630552331606547,1.6099940538406372,0.0,0.0,1.0178780754407246,1.4309460322062175,0.0,0.0,0.4482204218705495,0.3861517508824666,0.24020596345265707,0.8969542980194092,0.8179099361101786,0.0
29,0.48381231231231236,True,0.0,0.0,1.7462746302286785,0.3570874134699504,1.7240545749664307,0.0,0.0,0.7204479078451792,1.4959088961283367,0.0,0.14761324723561606,0.43361203869183856,0.6006774107615153,0.14731327692667642,0.6423418124516805,0.9368455211321512,0.26143427689870197
30,0.5004954954954955,True,0.0,0.0,1.8401673237482707,0.1409504214922587,1.8074112335840862,0.0,0.0,0.570447713136673,1.5632540782292683,0.0,0.41339699427286786,0.39792505900065106,0.5947984059651693,0.07233202457427979,0.39051584402720135,0.8325133124987284,0.40155426661173504
31,0.5171786786786787,True,0.0,0.0,1.9267807006835938,0.0,1.9176644086837769,0.0,0.0,0.4213615655899048,1.6799686352411907,0.0,0.78718634446462,0.47680803140004474,0.46053441365559894,0.0,0.1508697271347046,0.6557574570178986,0.5971192121505737
32,0.5338618618618619,True,0.0,0.0,1.913073460261027,0.0,1.9137165546417236,0.0,0.0,0.411432405312856,1.7220829327901204,0.0,0.8527957201004028,0.5693461100260416,0.2460087537765503,0.0,0.1508697271347046,0.5480815867582957,0.5405211051305135
33,0.5505450450450451,True,0.0,0.0,1.8722514311472576,0.0,1.9154664675394695,0.0,0.0068778594334920245,0.4360816876093547,1.78654146194458,0.0,1.1277552048365276,0.7853625317414602,0.1935046116511027,0.0,0.061491052309672035,0.3447866936524709,0.6051998535792033
