frame,timestamp,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48196907341480255,0.0,0.4541662335395813,0.11280260980129242,0.07284386456012726,0.0,0.013079285621643066,0.13159221410751343,0.2840801179409027,0.13412809371948242
1,0.016683183183183185,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47580693165461224,0.0,0.4883567492167155,0.08230176568031311,0.05803357561429342,0.015953203042348225,0.023388028144836426,0.11100971698760986,0.18938674529393515,0.18442797660827637
2,0.03336636636636637,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4356199999650319,0.0,0.4788583020369212,0.05302895108858744,0.05803357561429342,0.03661168615023295,0.014668504397074381,0.0793491800626119,0.08562156558036804,0.18966078758239746
3,0.05004954954954955,True,0.0,0.0,0.0,0.0,0.0,0.0,0.02088826894760132,0.448060800631841,0.000918130079905192,0.4258195161819458,0.07786213358243306,0.009470999240875244,0.07524023453394572,0.02464171250661214,0.11151828368504842,0.03708562254905701,0.10044304529825847
4,0.06673273273273274,True,0.0,0.0,0.0,0.0,0.0,0.0,0.027645846207936604,0.47070972124735516,0.000918130079905192,0.4033109247684479,0.08949494361877441,0.013406038284301758,0.059287031491597496,0.011227965354919434,0.12164539098739624,0.03708562254905701,0.005433797836303711
5,0.08341591591591592,True,0.0,0.0,0.0,0.0,0.0,0.0,0.027645846207936604,0.5088274578253428,0.003739476203918457,0.43687575062115985,0.10912565390268962,0.013406038284301758,0.03862854838371277,0.03646965821584066,0.11688717206319173,0.080990731716156,0.0
6,0.1000990990990991,True,0.0,0.0,0.0,0.0,0.0,0.0,0.006757577260335286,0.5517622927824656,0.004646594325701396,0.4867718021074931,0.06524589657783508,0.016922513643900555,0.0,0.05329827467600504,0.04399609565734863,0.11211719115575154,0.034203569094340004
7,0.11678228228228228,True,0.0,0.0,0.0,0.0,0.0,0.0,0.014494399229685465,0.576397587855657,0.004646594325701396,0.5364047785600027,0.060583015282948814,0.013182024161020914,0.0,0.0843873421351115,0.016299724578857422,0.20856019854545593,0.08057232697804768
8,0.13346546546546548,True,0.0,0.0,0.0,0.0,0.0,0.0,0.02215776840845744,0.5749386648337046,0.0018252482016881306,0.5573453108469645,0.04095230499903361,0.013182024161020914,0.0,0.06907991568247478,0.01664908727010091,0.20842298865318298,0.10953017075856526
9,0.15014864864864866,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0585602323214213,0.5365626116593679,0.009539633989334106,0.6315185825030009,0.014069954554239908,0.024980207284291584,0.0,0.055535475413004555,0.02577165762583415,0.2383143206437429,0.13258087635040283
10,0.16683183183183184,True,0.0,0.0,0.0,0.0,0.0,0.0,0.07371373971303304,0.5142930050690969,0.009539633989334106,0.6248941421508789,0.0,0.07355615496635437,0.0,0.05287090937296549,0.02005934715270996,0.22470292448997498,0.10003332297007243
11,0.18351501501501502,True,0.0,0.0,0.0,0.0,0.0,0.0,0.08215431372324626,0.5181529621283213,0.009539633989334106,0.6121324002742767,0.0,0.09309294819831848,0.0,0.06548484166463216,0.015217423439025879,0.2490993837515513,0.07107547918955485
12,0.2001981981981982,True,0.0,0.0,0.0,0.0,0.0,0.0,0.11518824100494385,0.4968171715736389,0.0034680465857187905,0.573898841937383,0.0,0.07777828971544902,0.0,0.05222745736440023,0.007214665412902832,0.2296116848786672,0.01382120450337728
13,0.21688138138138138,True,0.0,0.0,0.0,0.0,0.0,0.0,0.12048838535944621,0.5188907583554586,0.0034680465857187905,0.5197874903678894,0.0733512540658315,0.01953679323196411,0.0,0.04576536019643148,0.031963845094045006,0.2358053227265676,0.0
14,0.23356456456456456,True,0.0,0.0,0.0,0.0,0.0,0.0,0.15105084578196207,0.5843932727972666,0.0034680465857187905,0.5370914041996002,0.09810396035512288,0.0,0.007035642862319946,0.050892909367879234,0.05530303716659546,0.2212664783000946,0.04976054032643636
15,0.2502477477477478,True,0.0,0.0,0.0,0.0,0.0,0.0,0.10195839405059814,0.6208282311757406,0.0,0.5107697943846384,0.09810396035512288,0.0,0.007035642862319946,0.0744560956954956,0.04808837175369263,0.15111273527145386,0.06429767608642578
16,0.26693093093093095,True,0.0,0.0,0.0,0.0,0.0,0.0,0.06701034307479858,0.5805387397607168,0.0,0.5485495130221049,0.024752706289291382,0.06419878204663594,0.007035642862319946,0.09373025099436443,0.028378764788309734,0.06208748618761698,0.12853467464447021
17,0.28361411411411414,True,0.0,0.0,0.0,0.0,0.0,0.0,0.03463141123453776,0.5325741072495779,0.0,0.5496980547904968,0.0,0.13681779305140176,0.0,0.09034490585327148,0.02372133731842041,0.0002632935841878255,0.1006157398223877
18,0.3002972972972973,True,0.0,0.0,0.0,0.0,0.0,0.0,0.049007674058278404,0.5651214023431143,0.0,0.5869940320650736,0.0,0.19846219817797342,0.007498929897944133,0.09532539049784343,0.02372133731842041,0.02701452374458313,0.08607860406239827
19,0.3169804804804805,True,0.0,0.0,0.0,0.0,0.0,0.0,0.06486302614212036,0.6111336549123129,0.0022381345431009927,0.6009182333946228,0.0,0.1954821248849233,0.007498929897944133,0.06475849946339925,0.018681764602661133,0.029178013404210407,0.0591581662495931
20,0.3336636636636637,True,0.0,0.0,0.0,0.0,0.0,0.0,0.05057555437088013,0.650093138217926,0.009989842772483826,0.6331845124562582,0.0,0.21552971005439758,0.007498929897944133,0.05785977840423584,0.0,0.028914719820022583,0.03731656074523926
21,0.35034684684684686,True,0.0,0.0,0.0,0.0,0.0,0.0,0.04827600717544556,0.6153410275777181,0.023519699772198994,0.6434895594914755,0.0,0.26860132813453674,0.0,0.06516567866007487,0.0,0.028705785671869915,0.03731656074523926
22,0.36703003003003004,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0644714633623759,0.5730482339859009,0.021281565229098003,0.6348336140314738,0.0,0.2965187132358551,0.0,0.08457982540130615,0.0,0.026542296012242634,0.0
23,0.3837132132132132,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0644714633623759,0.5477588375409445,0.022625779112180073,0.5375507374604543,0.015629440546035767,0.2625481188297272,0.0,0.10402556260426839,0.0,0.04426998893419901,0.015280326207478842
24,0.4003963963963964,True,0.0,0.0,0.0,0.0,0.0,0.0,0.03586288293202718,0.5758146643638611,0.013848851124445597,0.45923693974812824,0.015629440546035767,0.22064780195554098,0.0,0.10686031977335612,0.0,0.028111894925435383,0.015280326207478842
25,0.4170795795795796,True,0.0,0.0,0.0,0.0,0.0,0.0,0.008470733960469564,0.6262111067771912,0.013848851124445597,0.3958832323551178,0.015629440546035767,0.1740508278210958,0.0,0.10227779547373454,0.0,0.077362726132075,0.07936577002207439
26,0.43376276276276277,True,0.0,0.0,0.0,0.0,0.0,0.0,0.008470733960469564,0.6301957964897156,0.004752929011980693,0.41721515854199726,0.03919947147369385,0.18179800113042197,1.5298525492350261e-06,0.09864993890126546,0.0,0.07050052285194397,0.10178124904632568
27,0.45044594594594595,True,0.0,0.0,0.0,0.0,0.0,0.0,0.004658659299214681,0.6139867504437765,0.0,0.43991635243097943,0.03919947147369385,0.12666297952334085,1.5298525492350261e-06,0.08669273058573405,0.0,0.060116320848464966,0.10178124904632568
28,0.46712912912912913,True,0.0,0.0,0.0,0.0,0.0,0.0,0.002919872601826986,0.5897929271062216,0.022032673160235088,0.4590856234232585,0.03919947147369385,0.13270622491836548,1.5298525492350261e-06,0.06736552715301514,0.0,0.06268150607744853,0.03769580523173014
29,0.48381231231231236,True,0.0,0.0,0.0,0.0,0.0,0.0,0.002919872601826986,0.5894228418668112,0.04405499994754791,0.46736788749694824,0.0,0.09549924731254578,0.0,0.04379856586456299,0.0,0.0677524705727895,0.0
30,0.5004954954954955,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0031030972798665366,0.54253418246905,0.04489328960577647,0.45283804337183636,0.0,0.07781856258710225,0.0,0.028536677360534668,0.0,0.09039284785588582,0.0
